Agents,X_DIM,Y_DIM,TRIAL_NO,REWARD,NORMALIZED_REWARD,DONE_RATIO,STEPS,ACTION_PROB
6,25,25,660,-1421.3333333333248,-2.5111896348645315,0.0,415,[0.86458333 0.00801282 0.07652244 0.00440705 0.04647436]
9,35,35,661,-2920.0,-4.005486968449931,0.0,583,[0.91704718 0.0064688  0.04680365 0.00722983 0.02245053]
10,40,40,662,-3410.00000000014,-4.20987654321005,0.0,659,[0.89424242 0.00636364 0.06757576 0.00757576 0.02424242]
7,45,45,663,-3058.3333333333767,-3.447951897782837,0.0,733,[0.90404827 0.00875827 0.07181783 0.00661736 0.00875827]
6,25,25,664,-1629.333333333318,-2.878680800942258,0.0,415,[0.90184295 0.01041667 0.07171474 0.00961538 0.00641026]
6,25,25,665,-1413.3333333333167,-2.4970553592461426,0.0,423,[0.94929245 0.00511006 0.03891509 0.00668239 0.        ]
8,45,45,666,-3312.0000000000864,-3.729729729729827,0.0,735,[0.80553668 0.00798234 0.09952446 0.00764266 0.07931386]
5,30,30,667,-816.6666666666758,-1.266149870801048,0.0,489,[0.8644898  0.00693878 0.09836735 0.00857143 0.02163265]
5,30,30,668,-1109.25,-1.7197674418604652,0.0,492,[0.92860041 0.01014199 0.04989858 0.00689655 0.00446247]
7,45,45,669,-2263.166666666657,-2.5514844043592526,0.0,733,[0.92351109 0.00642273 0.04573764 0.00778513 0.0165434 ]
7,25,25,670,-1355.3333333333273,-2.3903586125808243,0.0,427,[0.88084112 0.00333778 0.03204272 0.00267023 0.08110814]
9,35,35,671,-3082.6666666666843,-4.228623685413833,0.0,577,[0.91714725 0.00845829 0.06074587 0.00749712 0.00615148]
8,25,25,672,-1619.9999999999761,-2.852112676056296,0.0,431,[0.90017361 0.00578704 0.0541088  0.00868056 0.03125   ]
5,25,25,673,-1294.9999999999984,-2.2920353982300856,0.0,419,[0.92571429 0.01       0.05809524 0.00619048 0.        ]
9,25,25,674,-1634.9999999999754,-2.8734622144112048,0.0,435,[0.88328236 0.00331295 0.06167176 0.01146789 0.04026504]
7,45,45,675,-2551.5,-2.8765501691093576,0.0,728,[0.91769547 0.0074466  0.06290417 0.00881834 0.00313541]
10,30,30,676,-2740.8333333333494,-4.216666666666692,0.0,505,"[9.31225296e-01 8.49802372e-03 5.31620553e-02 6.32411067e-03
 7.90513834e-04]"
6,30,30,677,-1475.9999999999814,-2.2848297213622004,0.0,491,[0.87906504 0.00643631 0.06876694 0.00914634 0.03658537]
7,45,45,678,-2079.6666666666465,-2.3446072904922732,0.0,733,[0.90988712 0.00700662 0.04671078 0.00661736 0.02977812]
10,45,45,679,-4871.666666666668,-5.473782771535582,0.0,739,[0.88486486 0.00567568 0.07040541 0.00716216 0.03189189]
5,30,30,680,-1666.6666666666567,-2.583979328165359,0.0,499,[0.914  0.0076 0.0544 0.0044 0.0196]
10,40,40,681,-2733.3333333333535,-3.374485596707844,0.0,655,[0.87911585 0.00853659 0.06707317 0.01006098 0.03521341]
5,40,40,682,-1245.833333333332,-1.547619047619046,0.0,649,[0.92184615 0.00646154 0.05384615 0.00707692 0.01076923]
7,25,25,683,-1248.3333333333323,-2.2016460905349775,0.0,427,[0.93991989 0.00500668 0.04372497 0.00567423 0.00567423]
9,25,25,684,-1985.5,-3.4894551845342705,0.0,417,[0.89021797 0.00903775 0.07097289 0.00956938 0.02020202]
9,25,25,685,-2226.0,-3.9121265377855887,0.0,423,[0.93370021 0.00890985 0.05057652 0.00681342 0.        ]
8,30,30,686,-2296.2499999999945,-3.5435956790123373,0.0,500,[0.8997006  0.00648703 0.0508982  0.00598802 0.03692615]
7,35,35,687,-1493.1666666666356,-2.0538743695552073,0.0,577,[0.88185863 0.0111221  0.06994563 0.00741473 0.02965892]
10,35,35,688,-3564.833333333361,-4.883333333333372,0.0,585,[0.88447099 0.00904437 0.06825939 0.00904437 0.02918089]
5,25,25,689,-1059.1666666666717,-1.8746312684365871,0.0,409,[0.89365854 0.00829268 0.07756098 0.0102439  0.0102439 ]
5,35,35,690,-1757.499999999987,-2.424137931034465,0.0,569,[0.91929825 0.00807018 0.0645614  0.00807018 0.        ]
5,25,25,691,-1050.0,-1.8584070796460177,0.0,419,[0.94190476 0.00428571 0.04190476 0.00619048 0.00571429]
10,30,30,692,-2487.8333333333353,-3.8274358974359006,0.0,505,[0.93181818 0.00434783 0.05059289 0.00592885 0.00731225]
10,30,30,693,-2946.6666666666924,-4.533333333333373,0.0,519,[0.93576923 0.00538462 0.03576923 0.00403846 0.01903846]
9,30,30,694,-1805.9999999999247,-2.7827426810476497,0.0,515,[0.92894057 0.01162791 0.04586563 0.0081826  0.00538329]
9,30,30,695,-1535.4999999999698,-2.365947611710277,0.0,497,[0.78335564 0.00669344 0.08143686 0.01115573 0.11735832]
8,25,25,696,-1508.5833333333273,-2.6559565727699423,0.0,420,[0.82007126 0.01128266 0.05849169 0.0097981  0.10035629]
5,25,25,697,-1273.4166666666656,-2.253834808259585,0.0,412,[0.93123487 0.00726392 0.05520581 0.0062954  0.        ]
10,40,40,698,-2915.0000000000787,-3.5987654320988627,0.0,659,[0.87787879 0.00621212 0.05484848 0.00545455 0.05560606]
9,35,35,699,-3552.666666666694,-4.8733424782807875,0.0,583,[0.91533486 0.00627854 0.05098935 0.00608828 0.02130898]
9,30,30,700,-2309.9999999999804,-3.559322033898275,0.0,503,[0.8478836  0.00573192 0.0515873  0.00529101 0.08950617]
10,25,25,701,-2414.999999999997,-4.236842105263152,0.0,419,[0.87214286 0.00666667 0.06928571 0.00642857 0.04547619]
5,40,40,702,-1686.916666666653,-2.0955486542442894,0.0,652,[0.94732006 0.0058193  0.04196018 0.00490046 0.        ]
10,30,30,703,-2666.6666666666906,-4.1025641025641395,0.0,499,[0.9114 0.0076 0.0644 0.0096 0.007 ]
